'state_territory','county_name','county_web_link','founded','named_for','seat','largest_city','total_population','density','congressional_district'
'alabama','autauga_county','http://www.autaugaco.org','november 21 1818','nan','prattville','prattville','58805','97/sqmi (38/km2)','2nd'
'alabama','baldwin_county','https://baldwincountyal.gov/','december 21[1] 1809[1]','abraham baldwin','bay minette','daphne','231767','110/sqmi (44/km2)','1st'
'alabama','barbour_county','nan','december 18 1832','james barbour','clayton','eufaula','25223','28/sqmi (11/km2)','2nd'
'alabama','bibb_county','http://www.bibbal.com','february 7 1818','william w. bibb','centreville','brent','22293','36/sqmi (14/km2)','6th'
'alabama','blount_county','http://www.blountcountyal.gov','february 6 1818','nan','oneonta','oneonta','59134','91/sqmi (35/km2)','6th'
'alabama','bullock_county','http://bullockcountyalrev.com/','december 5 (created) 1866','edward bullock','union springs','union springs','10357','17/sqmi (6.4/km2)','2nd'
'alabama','butler_county','http://butlercountyal.com/','december 13 1819','william butler','greenville','greenville','19051','24/sqmi (9.5/km2)','2nd'
'alabama','calhoun_county','http://www.calhouncounty.org','december 18 1832 as benton county','john c. calhoun','anniston','oxford','116441','190/sqmi (73/km2)','3rd'
'alabama','chambers_county','http://www.chamberscountyal.gov','december 18 1832','henry h. chambers','lafayette','valley','34772','58/sqmi (22/km2)','3rd'
'alabama','cherokee_county','http://www.cherokeecounty-al.gov','january 9 1836','cherokee nation','centre','centre','24971','42/sqmi (16/km2)','nan'
'alabama','chilton_county','http://www.chiltoncounty.org','december 30 1868','william parish chilton sr.','clanton','clanton','45014','64/sqmi (25/km2)','6th'
'alabama','choctaw_county','nan','december 29 1847','choctaw tribe','butler','nan','12665','14/sqmi (5.3/km2)','7th'
'alabama','clarke_county','http://www.clarkecountyal.com','december 10 1812','john clarke','grove hill','jackson','23087','18/sqmi (7.1/km2)','nan'
'alabama','clay_county','https://alabamaclaycounty.com/','december 7 1866','henry clay','ashland','lineville','14236','23/sqmi (9.1/km2)','3rd'
'alabama','cleburne_county','http://www.cleburnecounty.us','december 6 1866','patrick cleburne','heflin','heflin','15056','27/sqmi (10/km2)','3rd'
'alabama','coffee_county','http://www.coffeecounty.us','nan','nan','nan','nan','nan','nan','nan'
'alabama','colbert_county','http://www.colbertcounty.org/','february 6 1867','george and levi colbert','tuscumbia','muscle shoals','57227','92/sqmi (36/km2)','4th'
'alabama','conecuh_county','nan','february 13 1818','nan','evergreen','evergreen','11597','14/sqmi (5.2/km2)','2nd'
'alabama','coosa_county','http://www.coosacountyal.com/','december 18 1832','nan','rockford','goodwater','10387','16/sqmi (6.0/km2)','6th'
'alabama','covington_county','http://www.covcounty.com','december 17 1821','leonard covington','andalusia','andalusia','37570','36/sqmi (14/km2)','2nd'
'alabama','crenshaw_county','http://www.crenshawcountyalonline.com','november 30 1866','anderson crenshaw','luverne','luverne','13194','22/sqmi (8.3/km2)','2nd'
'alabama','cullman_county','http://www.co.cullman.al.us','january 24 1877','john g. cullmann','cullman','cullman','87866','120/sqmi (45/km2)','4th'
'alabama','dale_county','http://www.dalecountyal.org','december 22 1824','samuel dale','ozark','ozark','49326','88/sqmi (34/km2)','2nd'
'alabama','dallas_county','http://www.dallascounty-al.org/','february 9 1818','alexander j. dallas','selma','selma','38462','39/sqmi (15/km2)','7th'
'alabama','dekalb_county','http://www.dekalbcountyal.us','january 9 1836','johan dekalb','fort payne','fort payne','71608','92/sqmi (35/km2)','4th'
'alabama','elmore_county','http://www.elmoreco.org','february 15 1866','john a. elmore','wetumpka','millbrook','87977','130/sqmi (52/km2)','2nd'
'alabama','escambia_county','http://www.co.escambia.al.us','december 10 1868','nan','brewton','atmore','36757','39/sqmi (15/km2)','1st'
'alabama','etowah_county','http://www.etowahcounty.org','december 7 1866','nan','gadsden','gadsden','103436','190/sqmi (73/km2)','4th'
'alabama','fayette_county','nan','december 20 1824','marquis de lafayette','fayette','fayette','16321','26/sqmi (10/km2)','4th'
'alabama','franklin_county','http://www.franklincountyal.org','february 6 1818','benjamin franklin','russellville','russellville','32113','50/sqmi (19/km2)','4th'
'alabama','geneva_county','http://www.genevacounty.us/','december 26 1868','geneva new york','geneva','geneva','26659','46/sqmi (18/km2)','2nd'
'alabama','greene_county','nan','december 13 1819','nathanael greene','eutaw','eutaw','7730','12/sqmi (4.5/km2)','7th'
'alabama','hale_county','http://www.halecountyal.com','january 30 1867','stephen f. hale','greensboro','moundville','14785','23/sqmi (8.7/km2)','7th'
'alabama','henry_county','http://www.henrycountyal.com/','december 13 1819','patrick henry','abbeville','headland','17146','30/sqmi (12/km2)','2nd'
'alabama','houston_county','http://www.houstoncounty.org/','february 9 1903','george s. houston','dothan','dothan','107202','180/sqmi (71/km2)','2nd'
'alabama','jackson_county','http://www.jacksoncountyal.gov/','december 13 1819','andrew jackson','scottsboro','scottsboro','52579','47/sqmi (18/km2)','5th'
'alabama','jefferson_county','http://jeffconline.jccal.org/','december 13 1819[1]','thomas jefferson','birmingham','birmingham','674721','600/sqmi (230/km2)','nan'
'alabama','lamar_county','http://www.lamarcounty.us/','february 8 1877','lucius quintus cincinnatus lamar','vernon','vernon','13972','23/sqmi (8.9/km2)','4th'
'alabama','lauderdale_county','https://lauderdalecountyal.gov/','february 6 1818[1]','james lauderdale','florence','florence','93564','130/sqmi (50/km2)','5th'
'alabama','lawrence_county','http://www.lawrencealabama.com','february 6 1818','james lawrence','moulton','moulton','33073','46/sqmi (18/km2)','4th'
'alabama','lee_county','http://www.leeco.us','december5 1866; 155 years ago(1866-12-05)','general robert e. lee','opelika','auburn','174241','280/sqmi (110/km2)','3rd'
'alabama','limestone_county','http://limestonecounty-al.gov/','february 6[1] 1818[1]','limestone creek','athens','athens','103570','170/sqmi (66/km2)','5th'
'alabama','lowndes_county','nan','january 20 1830','william lowndes','hayneville','nan','10311','14/sqmi (5.5/km2)','7th'
